('北京市+北京', '0.975791')
('嘉庆皇帝+政协委员', '0.443573')
('北京市+谷牧领导同志', '0.443111')
('府邸+东路后进院落正房名', '0.443006')
('该寺院+周恩来总理', '0.442993')
('恭王府前半部+乾隆', '0.442763')
('八十年代初恭王府+嘉庆帝', '0.44249')
('每路由+百名能工巧匠', '0.442446')
('恭王府人+厉子嘉任务', '0.442105')
('亲王府+东路后进院落正房名', '0.441858')
('山中定次郎+府邸产权', '0.44131')
('该寺院+浩浩荡荡太监队伍', '0.441021')
('中央政治局常委李岚清同志+东路后进院落正房名', '0.441014')
('恭王府前身+康熙', '0.440902')
('东路前院正房名+恭亲王', '0.440872')
('和珅房屋+日本', '0.440605')
('其府邸建筑+谷牧领导同志', '0.439817')
('厉善麟祖父厉子嘉+府邸产权', '0.439809')
('曲径通幽+张嘴和珅', '0.439658')
('复辟+恭亲王奕忻', '0.439473')
('恭王府+台北故宫', '0.439319')
('戏楼南端明道斋+厉子嘉任务', '0.439277')
('行楷书+乾隆', '0.438921')
('周恩来总理+恭王府以前主人', '0.438832')
('明显标志+嘉庆', '0.438555')
('僧格林沁亲王+此扇面', '0.438432')
('意指和珅家财宝+百名能工巧匠', '0.438318')
('政协委员+奕訢', '0.438279')
('恭王府管理中心+11月中央政治局常委李瑞环同志', '0.438056')
('恭王府银安殿+此扇面', '0.437834')
('恭王府管理中心+唐颜真卿告身帖', '0.437721')
('睿庙籍没+复辟', '0.43758')
('山中定次郎+辅仁大学', '0.437283')
('府邸+宋易元吉聚猿图', '0.437124')
('和珅+行楷书', '0.436735')
('八十年代初恭王府+明显标志', '0.436731')
('11月中央政治局常委李瑞环同志+曲径通幽', '0.436725')
('东路前院正房名+清代嘉庆年间礼亲王昭梿', '0.436352')
('11月中央政治局常委李瑞环同志+恭亲王七百件珍藏', '0.436177')
('恭王府人+戏楼南端明道斋', '0.436115')
('溥伟+台北故宫', '0.436012')
('戏楼南端明道斋+溥伟二弟溥儒', '0.435946')
('恭王府+每路由', '0.435911')
('和珅+谷牧领导同志', '0.435689')
('恭王府花园+清代嘉庆年间礼亲王昭梿', '0.434728')
('谷牧领导同志+驸马', '0.434459')
('明显标志+张嘴和珅', '0.433571')
('嘉乐堂+清代嘉庆年间礼亲王昭梿', '0.433553')
('中央政治局常委李岚清同志+曲径通幽', '0.433517')
('谷牧领导同志+恭王府前半部', '0.433485')
('山中定次郎+谷牧领导同志', '0.433363')
('厉子嘉任务+僧格林沁亲王', '0.433036')
('原国务院副总理李岚清同志+恭亲王', '0.433024')
('山中定次郎+编辑', '0.432773')
('八十年代初恭王府+复辟', '0.432411')
('编辑+和珅房屋', '0.432381')
('亲王府+著名学者侯仁之先生', '0.431542')
('永璘+原国务院副总理李岚清同志', '0.431485')
('政协委员+驸马', '0.431284')
('编辑+整座府邸', '0.431208')
('小恭王溥伟+此处私宅', '0.4309')
('咸丰皇帝+整座府邸', '0.430814')
('咸丰皇帝+我国十大元帅', '0.430607')
('辅仁大学+周总理', '0.43059')
('嘉庆帝+行楷书', '0.430462')
('2008年恭王府+恭亲王奕忻', '0.429577')
('戏楼南端明道斋+驸马', '0.429576')
('中国音乐学院+百名能工巧匠', '0.429306')
('每路由+驸马', '0.429219')
('北京市+府邸', '0.429185')
('恭王府人+此处私宅', '0.428759')
('溥伟二弟溥儒+谷牧同志', '0.428715')
('恭王府管理中心+浩浩荡荡太监队伍', '0.428563')
('恭王府花园+原国务院副总理李岚清同志', '0.428526')
('一座恭王府半部清朝史+厉子嘉任务', '0.428274')
('厉善麟祖父厉子嘉+恭王府花园', '0.428245')
('北京报纸+谷牧同志', '0.428241')
('意指和珅家财宝+每路由', '0.428025')
('该寺院+康熙', '0.427898')
('溥伟+行楷书', '0.427827')
('明显标志+厉子嘉任务', '0.42768')
('溥伟+意指和珅家财宝', '0.427677')
('2008年恭王府+唐颜真卿告身帖', '0.427626')
('这批紫檀家具+百名能工巧匠', '0.427511')
('咸丰皇帝+郭沫若人', '0.427328')
('恭王府管理中心+奕訢', '0.427125')
('恭王府前身+复辟', '0.4271')
('厉家菜+睿庙籍没', '0.426882')
('周恩来总理+恭王府府邸前身', '0.426341')
('府邸产权+殿堂屋顶', '0.426159')
('北京恭王府+乾隆五十四年固伦和孝公主', '0.426084')
('辅仁大学+整座府邸', '0.426046')
('11月中央政治局常委李瑞环同志+复辟', '0.425962')
('一座恭王府半部清朝史+张嘴和珅', '0.425307')
('北京+台北故宫', '0.425252')
('和珅+恭王府管理处', '0.424859')
('其府邸建筑+郭沫若人', '0.424534')
('台北故宫+嘉庆帝', '0.424452')
('睿庙籍没+此扇面', '0.424405')
('咸丰皇帝+恭亲王奕忻', '0.424248')
('府邸花园两部分+恭王府', '0.424134')
('北京恭王府+康熙', '0.423914')
('其府邸建筑+驸马', '0.423671')
('谷牧领导同志+殿堂屋顶', '0.423495')
('该寺院+恭王府银安殿', '0.423039')
('这座宅第+张嘴和珅', '0.422704')
('厉子嘉+恭王府管理处', '0.422155')
('恭王府以前主人+奕訢', '0.422023')
('奕訢+行楷书', '0.42148')
('永璘+恭王府花园', '0.421037')
('恭王府前身+整座府邸', '0.421017')
('2008年恭王府+著名学者侯仁之先生', '0.420814')
('亲王府+台北故宫', '0.420252')
('恭亲王七百件珍藏+乾隆', '0.420033')
('恭王府以前主人+康熙', '0.418762')
('恭王府以前主人+百名能工巧匠', '0.418097')
('恭王府花园+谷牧领导同志', '0.418067')
('明显标志+该寺院', '0.41791')
('浩浩荡荡太监队伍+乾隆', '0.417876')
('日本+我国十大元帅', '0.41775')
('北京恭王府+咸丰皇帝', '0.417731')
('浩浩荡荡太监队伍+康熙', '0.417659')
('明显标志+乾隆五十四年固伦和孝公主', '0.417621')
('一座恭王府半部清朝史+奕訢', '0.417313')
('11月中央政治局常委李瑞环同志+溥伟', '0.417215')
('嘉庆皇帝+百名能工巧匠', '0.416987')
('中国音乐学院+恭亲王七百件珍藏', '0.416928')
('政协委员+厉子嘉任务', '0.416819')
('编辑+郭沫若人', '0.416817')
('永璘+恭王府几座主要厅堂内檐装修', '0.416664')
('政协委员+恭王府前身', '0.416544')
('八十年代初恭王府+这座宅第', '0.416047')
('恭王府管理中心+嘉庆皇帝', '0.415951')
('恭王府几座主要厅堂内檐装修+府邸产权', '0.415864')
('咸丰皇帝+恭亲王七百件珍藏', '0.415731')
('厉子嘉任务+我国十大元帅', '0.415649')
('中国音乐学院+11月中央政治局常委李瑞环同志', '0.41564')
('该寺院+驸马', '0.415613')
('此处私宅+张嘴和珅', '0.415474')
('这座宅第+恭亲王奕忻', '0.415333')
('戏楼南端明道斋+谷牧领导同志', '0.415109')
('驸马+此扇面', '0.414739')
('溥伟二弟溥儒+复辟', '0.414663')
('和珅房屋+殿堂屋顶', '0.41414')
('北京恭王府+台北故宫', '0.414019')
('2008年恭王府+戏楼南端明道斋', '0.41392')
('府邸+我国十大元帅', '0.413781')
('恭王府府邸前身+宋易元吉聚猿图', '0.413293')
('百名能工巧匠+康熙', '0.413267')
('政协委员+著名学者侯仁之先生', '0.41323')
('北京恭王府+著名学者侯仁之先生', '0.412531')
('咸丰皇帝+每路由', '0.412411')
('著名学者侯仁之先生+这批紫檀家具', '0.412284')
('利滚利+整座府邸', '0.412269')
('厉家菜+行楷书', '0.412208')
('恭亲王奕忻+乾隆', '0.411888')
('宋易元吉聚猿图+康熙', '0.41186')
('睿庙籍没+谷牧同志', '0.411755')
('东路前院正房名+郭沫若人', '0.411583')
('东路前院正房名+僧格林沁亲王', '0.41118')
('僧格林沁亲王+溥伟二弟溥儒', '0.410901')
('谷牧领导同志+百名能工巧匠', '0.410749')
('其府邸建筑+我国十大元帅', '0.41064')
('北京恭王府+曲径通幽', '0.410443')
('浩浩荡荡太监队伍+恭王府', '0.410214')
('日本首相桥本龙太郎先生+张嘴和珅', '0.409937')
('明显标志+清代嘉庆年间礼亲王昭梿', '0.409856')
('此处私宅+康熙', '0.409727')
('中国音乐学院+我国十大元帅', '0.409719')
('厉家菜+11月中央政治局常委李瑞环同志', '0.409663')
('府邸花园两部分+恭王府前身', '0.409519')
('北京报纸+谷牧领导同志', '0.408731')
('戏楼南端明道斋+咸丰皇帝', '0.408688')
('僧格林沁亲王+意指和珅家财宝', '0.408679')
('北京恭王府+嘉庆皇帝', '0.40857')
('北京报纸+嘉庆帝', '0.408529')
('原国务院副总理李岚清同志+嘉庆帝', '0.408386')
('该寺院+嘉庆', '0.408036')
('北京报纸+和珅', '0.407555')
('11月中央政治局常委李瑞环同志+乾隆', '0.407395')
('谷牧领导同志+府邸产权', '0.407335')
('这批紫檀家具+整座府邸', '0.407118')
('该寺院+东路前院正房名', '0.407055')
('行楷书+全部财富', '0.406289')
('溥伟二弟溥儒+恭亲王', '0.40567')
('该寺院+嘉乐堂', '0.405561')
('北京报纸+复辟', '0.405475')
('该寺院+乾隆五十四年固伦和孝公主', '0.405215')
('此扇面+行楷书', '0.405202')
('府邸+郭沫若人', '0.405039')
('恭王府银安殿+郭沫若人', '0.40499')
('府邸产权+宋易元吉聚猿图', '0.404966')
('恭王府几座主要厅堂内檐装修+周总理', '0.404855')
('这批紫檀家具+恭亲王七百件珍藏', '0.404661')
('意指和珅家财宝+恭亲王', '0.404644')
('编辑+咸丰皇帝', '0.404637')
('浩浩荡荡太监队伍+2008年恭王府', '0.404333')
('戏楼南端明道斋+府邸', '0.404237')
('府邸花园两部分+此扇面', '0.404069')
('这批紫檀家具+府邸产权', '0.403771')
('中国+恭王府银安殿', '0.403653')
('这座宅第+咸丰皇帝', '0.40362')
('八十年代初恭王府+谷牧同志', '0.403543')
('恭王府前身+每路由', '0.403187')
('政协委员+百名能工巧匠', '0.403169')
('恭王府几座主要厅堂内檐装修+曲径通幽', '0.403148')
('明显标志+小恭王溥伟', '0.403119')
('该寺院+乾隆', '0.403039')
('驸马+百名能工巧匠', '0.402426')
('政协委员+整座府邸', '0.402187')
('唐颜真卿告身帖+嘉庆', '0.402129')
('一座恭王府半部清朝史+东路前院正房名', '0.402077')
('2008年恭王府+康熙', '0.401941')
('政协委员+咸丰皇帝', '0.401564')
('戏楼南端明道斋+奕訢', '0.401255')
('嘉庆皇帝+溥伟二弟溥儒', '0.401217')
('咸丰皇帝+睿庙籍没', '0.401191')
('厉善麟祖父厉子嘉+溥伟二弟溥儒', '0.401113')
('戏楼南端明道斋+张嘴和珅', '0.400859')
('府邸产权+恭王府前半部', '0.400708')
('和珅+唐颜真卿告身帖', '0.400548')
('唐颜真卿告身帖+全部财富', '0.400488')
('谷牧领导同志+东路后进院落正房名', '0.400343')
('厉家菜+清代嘉庆年间礼亲王昭梿', '0.400089')
('张嘴和珅+殿堂屋顶', '0.399747')
('府邸产权+嘉乐堂', '0.399732')
('小恭王溥伟+乾隆', '0.399555')
('台北故宫+嘉乐堂', '0.399519')
('厉子嘉+台北故宫', '0.398962')
('厉善麟+台北故宫', '0.398962')
('恭王府前身+百名能工巧匠', '0.398832')
('恭王府前身+这座宅第', '0.398517')
('百名能工巧匠+谷牧同志', '0.398484')
('恭王府花园+谷牧同志', '0.398471')
('该寺院+唐颜真卿告身帖', '0.398334')
('北京恭王府+厉子嘉', '0.398102')
('厉家菜+恭王府管理处', '0.397794')
('每路由+我国十大元帅', '0.397648')
('厉善麟+府邸产权', '0.397515')
('厉家菜+恭王府以前主人', '0.397045')
('中国音乐学院+恭王府前身', '0.396737')
('厉子嘉任务+清代嘉庆年间礼亲王昭梿', '0.396618')
('恭王府前半部+康熙', '0.396521')
('山中定次郎+溥伟二弟溥儒', '0.396509')
('周恩来总理+恭王府几座主要厅堂内檐装修', '0.396486')
('北京恭王府+山中定次郎', '0.396244')
('北京恭王府+恭王府主人奕䜣', '0.396244')
('嘉庆皇帝+恭王府花园', '0.396233')
('辅仁大学+谷牧领导同志', '0.396043')
('戏楼南端明道斋+恭王府以前主人', '0.395947')
('恭王府花园+咸丰皇帝', '0.395589')
('恭王府+此扇面', '0.39556')
('厉子嘉任务+原国务院副总理李岚清同志', '0.395529')
('东路前院正房名+厉子嘉任务', '0.395379')
('这座宅第+北京市', '0.39526')
('周恩来总理+和珅房屋', '0.395254')
('府邸+僧格林沁亲王', '0.395229')
('北京报纸+恭王府', '0.394634')
('厉子嘉+睿庙籍没', '0.394142')
('乾隆五十四年固伦和孝公主+康熙', '0.393981')
('政协委员+编辑', '0.393889')
('溥伟二弟溥儒+唐颜真卿告身帖', '0.393838')
('睿庙籍没+恭亲王', '0.393575')
('厉善麟祖父厉子嘉+行楷书', '0.393457')
('每路由+整座府邸', '0.39294')
('明显标志+整座府邸', '0.392758')
('府邸花园两部分+中央政治局常委李岚清同志', '0.392749')
('中央政治局常委李岚清同志+溥伟', '0.392716')
('北京报纸+辅仁大学', '0.3925')
('亲王府+北京报纸', '0.392464')
('日本+恭亲王七百件珍藏', '0.392421')
('11月中央政治局常委李瑞环同志+康熙', '0.392075')
('亲王府+恭王府和珅府邸恭王府', '0.391236')
('11月中央政治局常委李瑞环同志+嘉乐堂', '0.390727')
('和珅+殿堂屋顶', '0.390705')
('明显标志+恭王府以前主人', '0.390693')
('中央政治局常委李岚清同志+张嘴和珅', '0.390644')
('和珅房屋+此处私宅', '0.390541')
('奕訢+溥伟二弟溥儒', '0.390089')
('溥伟二弟溥儒+我国十大元帅', '0.390069')
('溥伟+和珅房屋', '0.389896')
('东路前院正房名+恭王府', '0.389876')
('溥伟+府邸产权', '0.389847')
('恭王府花园+嘉庆帝', '0.389727')
('咸丰皇帝+清代嘉庆年间礼亲王昭梿', '0.389682')
('戏楼南端明道斋+此扇面', '0.38955')
('府邸产权+谷牧同志', '0.38951')
('明显标志+恭亲王奕忻', '0.3895')
('溥伟+恭王府前半部', '0.389428')
('嘉庆皇帝+意指和珅家财宝', '0.389254')
('乾隆五十四年固伦和孝公主+和珅房屋', '0.389008')
('该寺院+全部财富', '0.388938')
('小恭王溥伟+府邸产权', '0.388768')
('意指和珅家财宝+嘉庆', '0.388688')
('2008年恭王府+嘉庆帝', '0.388303')
('恭王府+溥伟二弟溥儒', '0.388229')
('和珅+僧格林沁亲王', '0.388216')
('原国务院副总理李岚清同志+复辟', '0.387923')
('中央政治局常委李岚清同志+日本', '0.387724')
('北京恭王府+宋易元吉聚猿图', '0.387683')
('北京恭王府+复辟', '0.387518')
('府邸产权+全部财富', '0.3875')
('和珅+此扇面', '0.387331')
('该寺院+宋易元吉聚猿图', '0.387268')
('辅仁大学+殿堂屋顶', '0.386703')
('东路前院正房名+张嘴和珅', '0.3867')
('曲径通幽+恭亲王七百件珍藏', '0.386619')
('明显标志+和珅', '0.386529')
('山中定次郎+这批紫檀家具', '0.386439')
('一座恭王府半部清朝史+曲径通幽', '0.386276')
('北京市+台北故宫', '0.386207')
('每路由+郭沫若人', '0.386155')
('恭王府府邸前身+乾隆', '0.386153')
('戏楼南端明道斋+恭王府', '0.386064')
('辅仁大学+此处私宅', '0.386051')
('2008年恭王府+东路后进院落正房名', '0.386006')
('恭王府府邸前身+戏楼南端明道斋', '0.385346')
('府邸+原国务院副总理李岚清同志', '0.385233')
('厉子嘉+原国务院副总理李岚清同志', '0.385161')
('利滚利+睿庙籍没', '0.384719')
('亲王府+府邸花园两部分', '0.384706')
('中央政治局常委李岚清同志+府邸产权', '0.384657')
('该寺院+府邸花园两部分', '0.384138')
('2008年恭王府+其府邸建筑', '0.383969')
('中央政治局常委李岚清同志+戏楼南端明道斋', '0.383809')
('每路由+张嘴和珅', '0.38348')
('明显标志+恭王府府邸前身', '0.383374')
('原国务院副总理李岚清同志+恭王府和珅府邸恭王府', '0.383311')
('奕訢+府邸产权', '0.383307')
('北京+和珅房屋', '0.383052')
('东路前院正房名+溥伟二弟溥儒', '0.382855')
('嘉庆皇帝+中央政治局常委李岚清同志', '0.382791')
('一座恭王府半部清朝史+嘉庆皇帝', '0.382523')
('中央政治局常委李岚清同志+中国', '0.382519')
('辅仁大学+郭沫若人', '0.382074')
('政协委员+此处私宅', '0.382045')
('溥伟二弟溥儒+此扇面', '0.382003')
('中央政治局常委李岚清同志+恭亲王奕忻', '0.381825')
('百名能工巧匠+嘉庆', '0.381655')
('北京+郭沫若人', '0.381384')
('厉子嘉任务+恭王府以前主人', '0.380622')
('北京恭王府+溥伟', '0.380601')
('北京恭王府+和珅房屋', '0.380554')
('北京恭王府+周总理', '0.3805')
('台北故宫+复辟', '0.380216')
('僧格林沁亲王+张嘴和珅', '0.380172')
('意指和珅家财宝+溥伟二弟溥儒', '0.380107')
('恭王府花园+复辟', '0.379871')
('此扇面+张嘴和珅', '0.379818')
('府邸+恭王府前半部', '0.379757')
('11月中央政治局常委李瑞环同志+意指和珅家财宝', '0.379512')
('每路由+恭亲王七百件珍藏', '0.379353')
('11月中央政治局常委李瑞环同志+恭亲王', '0.379305')
('周总理+和珅房屋', '0.379269')
('浩浩荡荡太监队伍+利滚利', '0.379136')
('编辑+周总理', '0.378959')
('戏楼南端明道斋+郭沫若人', '0.3789')
('中国+原国务院副总理李岚清同志', '0.378864')
('溥伟+恭王府管理处', '0.378802')
('此扇面+康熙', '0.378788')
('嘉庆皇帝+戏楼南端明道斋', '0.378663')
('这座宅第+和珅房屋', '0.378609')
('恭亲王七百件珍藏+恭王府和珅府邸恭王府', '0.378592')
('北京恭王府+谷牧同志', '0.378571')
('郭沫若人+张嘴和珅', '0.378324')
('府邸+溥伟二弟溥儒', '0.377943')
('其府邸建筑+乾隆', '0.377927')
('永璘+恭王府以前主人', '0.377669')
('府邸花园两部分+这批紫檀家具', '0.377621')
('11月中央政治局常委李瑞环同志+恭王府管理处', '0.377588')
('睿庙籍没+张嘴和珅', '0.377167')
('著名学者侯仁之先生+厉善麟', '0.376646')
('恭王府府邸前身+康熙', '0.37618')
('永璘+政协委员', '0.375604')
('2008年恭王府+周总理', '0.37551')
('利滚利+恭王府银安殿', '0.375469')
('辅仁大学+台北故宫', '0.375448')
('恭王府以前主人+此扇面', '0.375305')
('嘉庆皇帝+11月中央政治局常委李瑞环同志', '0.3753')
('辅仁大学+恭亲王七百件珍藏', '0.375195')
('厉子嘉+日本首相桥本龙太郎先生', '0.374769')
('日本首相桥本龙太郎先生+厉善麟', '0.374769')
('谷牧领导同志+恭亲王七百件珍藏', '0.374564')
('明显标志+其府邸建筑', '0.374422')
('其府邸建筑+百名能工巧匠', '0.374408')
('恭王府管理中心+府邸', '0.374')
('利滚利+恭亲王七百件珍藏', '0.372741')
('咸丰皇帝+溥伟二弟溥儒', '0.372477')
('恭王府管理处+东路后进院落正房名', '0.372142')
('恭王府+睿庙籍没', '0.37199')
('日本首相桥本龙太郎先生+嘉庆帝', '0.371651')
('2008年恭王府+嘉庆', '0.371557')
('政协委员+其府邸建筑', '0.371042')
('曲径通幽+我国十大元帅', '0.370869')
('北京恭王府+殿堂屋顶', '0.370664')
('利滚利+溥伟二弟溥儒', '0.370598')
('府邸产权+张嘴和珅', '0.37019')
('乾隆五十四年固伦和孝公主+日本', '0.370001')
('中国音乐学院+浩浩荡荡太监队伍', '0.368926')
('中国音乐学院+府邸产权', '0.368922')
('恭王府管理中心+此处私宅', '0.368808')
('周恩来总理+府邸产权', '0.368692')
('2008年恭王府+意指和珅家财宝', '0.368613')
('恭王府几座主要厅堂内檐装修+僧格林沁亲王', '0.368485')
('11月中央政治局常委李瑞环同志+这批紫檀家具', '0.368438')
('著名学者侯仁之先生+溥伟', '0.368397')
('日本+百名能工巧匠', '0.368031')
('府邸产权+康熙', '0.367961')
('原国务院副总理李岚清同志+每路由', '0.367105')
('恭王府人+每路由', '0.366929')
('恭王府府邸前身+嘉庆', '0.366899')
('日本+恭王府前半部', '0.366851')
('嘉庆皇帝+编辑', '0.36684')
('恭王府前身+日本', '0.366653')
('东路后进院落正房名+复辟', '0.366208')
('2008年恭王府+殿堂屋顶', '0.366167')
('日本首相桥本龙太郎先生+溥伟', '0.365978')
('北京恭王府+嘉乐堂', '0.365679')
('溥伟二弟溥儒+殿堂屋顶', '0.365329')
('府邸产权+复辟', '0.365202')
('北京市+每路由', '0.365192')
('永璘+该寺院', '0.365012')
('恭王府管理处+嘉乐堂', '0.364867')
('辅仁大学+恭王府管理处', '0.364296')
('一座恭王府半部清朝史+溥伟二弟溥儒', '0.363933')
('编辑+恭王府管理处', '0.363671')
('驸马+张嘴和珅', '0.363633')
('恭王府管理处+嘉庆帝', '0.363463')
('政协委员+殿堂屋顶', '0.362837')
('恭王府管理处+乾隆', '0.362553')
('戏楼南端明道斋+恭王府和珅府邸恭王府', '0.362454')
('僧格林沁亲王+府邸产权', '0.361969')
('政协委员+僧格林沁亲王', '0.361251')
('溥伟二弟溥儒+恭亲王奕忻', '0.361215')
('恭王府府邸前身+这批紫檀家具', '0.361048')
('东路前院正房名+恭王府和珅府邸恭王府', '0.360906')
('中国音乐学院+其府邸建筑', '0.360832')
('永璘+府邸花园两部分', '0.36051')
('戏楼南端明道斋+嘉庆', '0.360051')
('溥伟二弟溥儒+清代嘉庆年间礼亲王昭梿', '0.359985')
('和珅+台北故宫', '0.359911')
('睿庙籍没+府邸产权', '0.359873')
('11月中央政治局常委李瑞环同志+厉善麟', '0.358873')
('恭王府人+和珅房屋', '0.358326')
('政协委员+恭王府管理处', '0.358204')
('日本首相桥本龙太郎先生+厉子嘉任务', '0.357846')
('著名学者侯仁之先生+咸丰皇帝', '0.357688')
('东路前院正房名+恭王府前身', '0.357103')
('浩浩荡荡太监队伍+府邸产权', '0.356927')
('咸丰皇帝+和珅房屋', '0.356892')
('恭王府前半部+全部财富', '0.356892')
('明显标志+中央政治局常委李岚清同志', '0.356701')
('这座宅第+恭王府管理处', '0.356654')
('行楷书+嘉乐堂', '0.356175')
('恭王府管理中心+谷牧同志', '0.356064')
('恭王府管理中心+周恩来总理', '0.355903')
('东路前院正房名+咸丰皇帝', '0.355816')
('一座恭王府半部清朝史+厉善麟', '0.355726')
('中国音乐学院+著名学者侯仁之先生', '0.355546')
('东路前院正房名+我国十大元帅', '0.355404')
('嘉庆皇帝+著名学者侯仁之先生', '0.355172')
('中央政治局常委李岚清同志+全部财富', '0.354992')
('11月中央政治局常委李瑞环同志+咸丰皇帝', '0.354929')
('恭王府管理中心+和珅房屋', '0.354705')
('每路由+清代嘉庆年间礼亲王昭梿', '0.354299')
('编辑+台北故宫', '0.35371')
('中国音乐学院+张嘴和珅', '0.353359')
('嘉庆皇帝+恭王府管理处', '0.353322')
('台北故宫+殿堂屋顶', '0.353308')
('府邸花园两部分+清代嘉庆年间礼亲王昭梿', '0.353063')
('八十年代初恭王府+中国', '0.353047')
('恭王府银安殿+每路由', '0.352821')
('府邸+恭王府管理处', '0.352743')
('一座恭王府半部清朝史+咸丰皇帝', '0.352665')
('台北故宫+此扇面', '0.352053')
('浩浩荡荡太监队伍+这批紫檀家具', '0.351905')
('一座恭王府半部清朝史+溥伟', '0.351854')
('著名学者侯仁之先生+驸马', '0.351824')
('恭王府府邸前身+嘉庆帝', '0.351812')
('辅仁大学+恭王府前半部', '0.351669')
('恭王府花园+此处私宅', '0.351597')
('行楷书+我国十大元帅', '0.351446')
('厉子嘉+恭王府以前主人', '0.351441')
('恭王府以前主人+厉善麟', '0.351441')
('康熙+张嘴和珅', '0.350968')
('东路后进院落正房名+恭王府和珅府邸恭王府', '0.350942')
('明显标志+恭王府管理处', '0.35086')
('小恭王溥伟+编辑', '0.350603')
('谷牧领导同志+清代嘉庆年间礼亲王昭梿', '0.350278')
('恭王府府邸前身+和珅房屋', '0.350248')
('和珅房屋+谷牧同志', '0.350149')
('周恩来总理+行楷书', '0.349662')
('辅仁大学+我国十大元帅', '0.349641')
('中央政治局常委李岚清同志+奕訢', '0.349566')
('该寺院+小恭王溥伟', '0.34945')
('行楷书+殿堂屋顶', '0.348842')
('东路后进院落正房名+我国十大元帅', '0.348805')
('恭王府+行楷书', '0.348714')
('北京报纸+恭亲王', '0.348216')
('辅仁大学+和珅房屋', '0.348121')
('戏楼南端明道斋+复辟', '0.347944')
('明显标志+府邸', '0.347767')
('府邸花园两部分+百名能工巧匠', '0.347403')
('八十年代初恭王府+政协委员', '0.347369')
('永璘+恭王府前身', '0.346741')
('利滚利+原国务院副总理李岚清同志', '0.346637')
('乾隆五十四年固伦和孝公主+台北故宫', '0.346618')
('乾隆五十四年固伦和孝公主+这批紫檀家具', '0.34601')
('一座恭王府半部清朝史+谷牧领导同志', '0.345974')
('恭王府管理处+谷牧同志', '0.345662')
('北京报纸+郭沫若人', '0.34531')
('恭王府管理中心+中国音乐学院', '0.344994')
('其府邸建筑+溥伟二弟溥儒', '0.344857')
('2008年恭王府+和珅房屋', '0.344705')
('中国+恭亲王奕忻', '0.344405')
('恭王府花园+台北故宫', '0.344365')
('厉家菜+恭王府府邸前身', '0.343959')
('北京+行楷书', '0.343945')
('永璘+恭王府府邸前身', '0.343689')
('和珅房屋+每路由', '0.343579')
('府邸花园两部分+谷牧领导同志', '0.343301')
('北京报纸+台北故宫', '0.34306')
('咸丰皇帝+百名能工巧匠', '0.342878')
('中国音乐学院+和珅房屋', '0.342628')
('原国务院副总理李岚清同志+日本', '0.341799')
('恭王府管理处+复辟', '0.341737')
('恭王府管理中心+我国十大元帅', '0.341671')
('府邸产权+曲径通幽', '0.340416')
('中国+张嘴和珅', '0.339675')
('政协委员+乾隆五十四年固伦和孝公主', '0.339247')
('原国务院副总理李岚清同志+乾隆', '0.33907')
('中国+府邸产权', '0.339018')
('每路由+恭亲王奕忻', '0.338669')
('周总理+台北故宫', '0.338353')
('该寺院+谷牧领导同志', '0.33832')
('八十年代初恭王府+台北故宫', '0.338208')
('北京恭王府+意指和珅家财宝', '0.337967')
('恭王府以前主人+每路由', '0.337876')
('府邸花园两部分+僧格林沁亲王', '0.337697')
('厉子嘉+恭王府花园', '0.337422')
('原国务院副总理李岚清同志+驸马', '0.337415')
('和珅+郭沫若人', '0.337049')
('北京恭王府+驸马', '0.337039')
('北京报纸+殿堂屋顶', '0.337037')
('永璘+中央政治局常委李岚清同志', '0.336717')
('意指和珅家财宝+郭沫若人', '0.336614')
('北京市+行楷书', '0.336379')
('府邸+恭王府以前主人', '0.335687')
('政协委员+清代嘉庆年间礼亲王昭梿', '0.335601')
('一座恭王府半部清朝史+嘉庆帝', '0.334601')
('北京市+恭王府管理处', '0.334491')
('其府邸建筑+每路由', '0.334198')
('恭亲王七百件珍藏+行楷书', '0.333943')
('这批紫檀家具+其府邸建筑', '0.333632')
('和珅+恭王府以前主人', '0.333624')
('恭王府前半部+嘉庆', '0.333565')
('亲王府+行楷书', '0.33294')
('恭王府前身+这批紫檀家具', '0.332916')
('恭王府前身+溥伟', '0.332811')
('恭王府花园+日本', '0.332751')
('该寺院+府邸产权', '0.332434')
('编辑+张嘴和珅', '0.332265')
('东路前院正房名+这批紫檀家具', '0.332237')
('这座宅第+台北故宫', '0.332046')
('日本+恭亲王奕忻', '0.331609')
('中央政治局常委李岚清同志+嘉庆', '0.330848')
('浩浩荡荡太监队伍+政协委员', '0.330754')
('恭王府花园+嘉庆', '0.330629')
('恭王府前身+利滚利', '0.330296')
('2008年恭王府+睿庙籍没', '0.329772')
('该寺院+恭亲王', '0.32972')
('恭王府几座主要厅堂内檐装修+康熙', '0.329655')
('11月中央政治局常委李瑞环同志+驸马', '0.329647')
('著名学者侯仁之先生+溥伟二弟溥儒', '0.329373')
('恭王府府邸前身+嘉乐堂', '0.328919')
('山中定次郎+恭王府和珅府邸恭王府', '0.328415')
('政协委员+恭王府花园', '0.328092')
('和珅房屋+谷牧领导同志', '0.327402')
('八十年代初恭王府+日本', '0.326631')
('中央政治局常委李岚清同志+利滚利', '0.326491')
('东路前院正房名+2008年恭王府', '0.326154')
('恭王府以前主人+嘉乐堂', '0.326053')
